UniqueCount	AmbigCount
1	0
4	0
0	0
0	8
0	15
5	15
0	1
0	1
0	0
1	0
1	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
2	1
2	1
1	0
0	0
0	0
0	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
3	0
0	0
0	0
4	0
0	0
2	0
2	0
0	0
3	0
1	0
0	0
0	0
1	0
0	0
2	0
0	3
7	3
1	0
1	0
0	0
0	0
1	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	1
2	0
0	0
0	0
2	0
0	0
0	0
6	0
0	0
4	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
1	0
0	0
2	0
1	0
0	0
0	0
3	0
1	0
2	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
1	0
1	0
1	0
3	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
2	0
0	0
2	0
0	0
0	0
4	0
0	0
1	0
4	0
1	0
0	0
2	0
4	0
2	0
0	0
1	0
7	0
0	0
0	0
0	0
2	0
4	0
0	0
1	0
3	1
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
7	0
0	0
3	0
0	0
2	0
1	0
1	0
0	0
2	0
1	0
0	0
2	0
0	0
3	1
0	1
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	6
3	6
1	0
3	0
1	0
3	0
1	0
0	0
0	0
1	0
2	0
0	0
2	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
2	1
1	1
6	0
1	0
0	0
5	0
0	0
0	0
0	0
0	1
2	1
0	0
3	0
2	0
2	1
8	0
0	0
3	0
0	0
2	0
5	0
2	0
0	0
0	0
2	0
0	0
0	0
1	0
7	0
1	0
5	0
2	0
2	0
0	0
0	0
0	1
0	0
5	0
1	0
0	0
0	0
0	0
0	0
3	1
2	0
1	1
1	0
1	0
0	0
0	33
21	33
32	94
2	94
0	139
1	139
0	139
1	160
17	0
48	102
1	102
46	0
0	54
9	54
6	49
113	0
31	0
27	124
2	124
3	62
2	62
0	37
0	0
71	0
27	46
6	46
42	0
85	162
2	106
1	167
0	0
3	0
2	0
0	0
0	13
0	4
3	13
0	9
0	14
4	8
0	13
0	11
0	0
0	0
5	865
5	780
33	776
1	726
1	0
79	0
7	0
5	0
1	0
8	53
3	53
0	3
0	0
0	0
0	0
2	0
0	33
1	22
4	29
2	4
0	4
5	8
7	16
0	8
0	12
6	11
0	10
0	2
2	17
1	17
1	15
0	19
0	2
1	0
0	0
129	0
2	13
1	3
0	9
0	5
0	5
0	6
0	0
8	51
0	51
2	0
3	52
1	54
2	88
17	0
0	0
2	0
6	0
1	8
0	8
2	9
3	7
0	10
3	0
0	0
0	0
0	0
0	0
1	0
3	0
6	0
1	0
0	0
53	0
0	0
22	0
1	36
3	36
0	34
2	0
2	0
34	0
0	21
2	24
0	0
0	1
0	1
0	24
6	4
0	4
0	4
2	4
0	4
0	120
7	201
3	87
0	201
12	0
9	87
37	87
9	8
1	8
2	52
3	25
9	20
0	3
1	0
3	80
3	16
16	80
41	17
0	64
0	26
0	17
1	87
1	54
9	87
5	0
1	2
6	11
2	6
0	1
5	1
22	0
0	0
4	123
0	147
0	141
2	13
1	19
0	18
0	23
0	9
0	0
2	54
0	54
0	54
47	0
3	11
4	13
6	60
0	52
6	61
1	0
0	18
1	18
0	22
0	23
0	0
7	2
0	10
0	22
1	18
1	23
0	2
0	0
0	24
0	11
0	2
2	3
0	14
0	11
0	6
0	12
0	0
4	3
0	0
3	6
1	6
