"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN197_c0_g1",24.6083286847772,8.2655113632502,1.13406720739668,7.2883787745033,3.137069789142e-13,6.93606130379296e-10
"TRINITY_DN20_c0_g1",63.9317600990907,-3.11372210272346,0.436662997334085,-7.13072122376606,9.98443599307686e-13,1.10377939903465e-09
"TRINITY_DN4702_c1_g1",7.57404928004704,6.56578603193833,1.28975506857522,5.09072318606316,3.56700443239613e-07,0.000262888226667595
"TRINITY_DN56_c1_g2",54.5245333439096,-2.10113156053186,0.426755010831406,-4.92350765006468,8.50065520701993e-07,0.000469873716568027
"TRINITY_DN143_c0_g1",7.48177580285256,6.53362890995712,1.37385361391532,4.75569510738269,1.97764753967699e-06,0.000874515742045166
"TRINITY_DN545_c0_g1",6.17952561779563,6.27202674862097,1.33487148786552,4.69859968216868,2.61951329601366e-06,0.000965290649581032
"TRINITY_DN1111_c0_g1",6.60421552909606,-5.99754377777061,1.4330137333257,-4.18526608523958,2.84832249676793e-05,0.00899663005764841
"TRINITY_DN14_c0_g2",20.2751097620402,2.69388281949999,0.68199990621261,3.94997535184437,7.81592415261016e-05,0.021187945148847
"TRINITY_DN195_c0_g1",8.783708298501,4.82296412985117,1.24374264749016,3.87778302817208,0.000105412662432075,0.021187945148847
"TRINITY_DN308_c0_g2",12.7653255970374,-3.18324249284839,0.812791466425271,-3.91643198082354,8.98691562338283e-05,0.021187945148847
"TRINITY_DN445_c0_g2",10.245229262704,-3.72997719616371,0.957366651810525,-3.89608013722826,9.77620536517382e-05,0.021187945148847
"TRINITY_DN85_c0_g2",66.7875137488338,-1.5745661165816,0.414731823671787,-3.79658860668403,0.000146700942240081,0.0270296486077348
"TRINITY_DN158_c0_g1",12.9812799373105,3.06744654809396,0.836506292081356,3.66697367028966,0.000245438056188232,0.0416451830743012
"TRINITY_DN397_c0_g1",13.440656045963,-3.04081262864115,0.833424148908667,-3.64857753716755,0.000263696319783001,0.0416451830743012
"TRINITY_DN102_c0_g1",24.0527489993384,-2.29090034695982,0.631789385901012,-3.6260507031037,0.000287788871104708,0.042420079600834
"TRINITY_DN799_c0_g1",5.6086402560305,4.70113565379994,1.33292970559099,3.52691941223979,0.000420424706851465,0.0580974391780368
"TRINITY_DN735_c0_g1",13.3008301829569,2.41105709150387,0.698835267974942,3.45010791812288,0.000560362496608665,0.072880087058927
"TRINITY_DN300_c1_g1",5.79600673810712,4.03749505446631,1.17751126354847,3.42883773552976,0.000606171819087027,0.0744581051111898
"TRINITY_DN2019_c0_g1",11.4095446913052,-2.78127812888258,0.826539832749781,-3.36496562982289,0.000765531944665098,0.089083743666028
"TRINITY_DN4914_c0_g1",3.66815726204235,-5.1492591350234,1.60180019439471,-3.21467006499472,0.00130594530800263,0.144372253799691
"TRINITY_DN373_c0_g7",15.3481252257447,2.07300107581206,0.655324006184334,3.16332235085091,0.00155979516029855,0.155361069526317
"TRINITY_DN387_c0_g1",3.49787265891867,4.67840592751268,1.48968605820865,3.14053145743908,0.00168641595143899,0.155361069526317
"TRINITY_DN7954_c0_g1",8.80442732375812,3.58114532119791,1.1390804956025,3.14389135361652,0.00166717324859983,0.155361069526317
"TRINITY_DN836_c0_g1",18.1939818717346,-2.26296831974281,0.713939850838971,-3.16969043972477,0.00152601420443347,0.155361069526317
"TRINITY_DN15082_c0_g1",8.212763387303,-3.38049217805422,1.08061310442959,-3.12830944229447,0.00175814974228,0.155490763207243
"TRINITY_DN1024_c0_g1",4.3438268715943,4.18071195962649,1.35372509161636,3.08830203821862,0.00201303760989147,0.167406331503835
"TRINITY_DN63_c1_g1",3.43573239755742,-5.05073739764139,1.63787250124451,-3.08371829541289,0.00204431069679038,0.167406331503835
"TRINITY_DN508_c0_g1",3.57934265991573,4.70709967290747,1.55230431320106,3.03233047339849,0.00242673364588351,0.191625288966016
"TRINITY_DN11670_c0_g1",29.0477328736759,1.87862348052378,0.621938546649668,3.02059341818217,0.00252279871405449,0.192341653681878
"TRINITY_DN421_c0_g1",36.5352430420035,1.21694715709866,0.408916006442399,2.97603208953886,0.00292004305630812,0.215207173249908
"TRINITY_DN15063_c0_g1",12.7682469276813,1.99437215680705,0.675792105779457,2.95116225796503,0.00316580561662961,0.22579342639897
"TRINITY_DN462_c0_g1",20.8852657478416,-1.77281437073063,0.61249909144125,-2.8943951027896,0.00379889815632957,0.262480119488897
"TRINITY_DN2198_c0_g1",15.810731996309,-1.88416928040293,0.658359594606352,-2.86191512334459,0.00421089657453425,0.273832127243978
"TRINITY_DN4872_c0_g1",14.0919230377429,-2.45588952479208,0.856344774457085,-2.86787471360363,0.00413239137365194,0.273832127243978
"TRINITY_DN486_c0_g1",6.85008081789176,2.64594872306835,0.934857780668315,2.83032219208445,0.00465011501639034,0.29375440860683
"TRINITY_DN94_c0_g2",25.1977472324266,1.48378297386334,0.52906048693298,2.80456206900839,0.00503849855082462,0.309447785996479
