gene_id	log2FoldChange	padj	GO_pfam
TRINITY_DN10050_c0_g1	1.61951827940301	NA	NA
TRINITY_DN10051_c0_g1	-1.51408937232975	NA	NA
TRINITY_DN10052_c0_g1	0.207236735226266	0.999155368198447	NA
TRINITY_DN10053_c0_g1	1.41587742612258	NA	NA
TRINITY_DN10054_c0_g1	1.152480397022	NA	NA
TRINITY_DN10055_c0_g1	0.718262713960911	NA	NA
TRINITY_DN10056_c0_g1	-2.04420509059358	NA	NA
TRINITY_DN10057_c0_g1	1.5738329003182	0.999155368198447	NA
TRINITY_DN10059_c0_g1	-1.10132357055555	NA	NA
TRINITY_DN1006_c0_g1	2.86279211382665	NA	NA
TRINITY_DN1006_c0_g2	1.00763203207302	NA	NA
TRINITY_DN10060_c0_g1	-0.176748857435275	NA	NA
TRINITY_DN10061_c0_g1	-1.18220565705337	NA	NA
TRINITY_DN10062_c0_g1	1.1331555534947	NA	NA
TRINITY_DN10063_c0_g1	1.0870808813637	0.999155368198447	NA
TRINITY_DN10064_c0_g1	0.901919702066194	0.999155368198447	NA
TRINITY_DN10064_c0_g1	0.901919702066194	0.999155368198447	NA
TRINITY_DN10065_c0_g1	0.191990001026649	NA	NA
TRINITY_DN10066_c0_g1	2.80941590716106	NA	NA
TRINITY_DN10067_c0_g1	1.0808709931507	NA	NA
TRINITY_DN10068_c0_g1	-0.201806614210871	NA	NA
TRINITY_DN10069_c0_g1	-0.0810757014577548	0.999155368198447	NA
TRINITY_DN1007_c0_g1	-0.808615476860369	0.999155368198447	NA
TRINITY_DN1007_c0_g1	-0.808615476860369	0.999155368198447	NA
TRINITY_DN10070_c0_g1	-0.890037024456959	NA	NA
TRINITY_DN10071_c0_g1	-2.07356210427812	NA	NA
TRINITY_DN10072_c0_g1	-2.41340458201845	NA	NA
TRINITY_DN10073_c0_g1	-0.207952229436972	NA	NA
TRINITY_DN10074_c0_g1	-2.50473566486007	NA	NA
TRINITY_DN10075_c0_g1	0.10052425715649	0.999155368198447	NA
TRINITY_DN10076_c0_g1	-3.12698246159859	NA	NA
TRINITY_DN10077_c0_g1	-1.10104323265395	NA	NA
TRINITY_DN10078_c0_g1	-0.599712538441734	NA	NA
TRINITY_DN10079_c0_g1	0.195742494262343	NA	NA
TRINITY_DN1008_c0_g1	0.0453653064705037	NA	NA
TRINITY_DN10080_c0_g1	-1.52237678933332	NA	NA
TRINITY_DN10081_c0_g1	-1.17868954411076	NA	NA
TRINITY_DN10083_c0_g1	2.93419546784224	NA	NA
TRINITY_DN10084_c0_g1	4.14602821818073	NA	NA
TRINITY_DN10085_c0_g1	-1.48875204022285	NA	NA
TRINITY_DN10086_c0_g1	-2.06561436802614	NA	NA
TRINITY_DN10088_c0_g1	1.0079246891671	NA	NA
TRINITY_DN10089_c0_g1	-1.50654834090416	NA	NA
TRINITY_DN1009_c0_g1	-2.50208656720037	NA	NA
TRINITY_DN10090_c0_g1	0.985048405974795	NA	NA
TRINITY_DN10091_c0_g1	-1.16104365532377	NA	NA
TRINITY_DN10093_c0_g1	1.86008621251346	NA	NA
TRINITY_DN10094_c0_g1	-2.33338088810172	NA	NA
TRINITY_DN10095_c0_g1	1.22378636469133	NA	NA
TRINITY_DN10096_c0_g1	1.40641576130842	NA	NA
TRINITY_DN10097_c0_g1	1.12499473538045	NA	NA
TRINITY_DN10098_c0_g1	-0.328155049382206	NA	NA
TRINITY_DN10099_c0_g1	-2.08134676973634	NA	NA
TRINITY_DN101_c0_g1	-1.73836097108794	0.943136805737386	NA
TRINITY_DN101_c0_g1	-1.73836097108794	0.943136805737386	NA
TRINITY_DN1010_c0_g1	2.44725580814198	NA	NA
TRINITY_DN10100_c0_g1	-0.22259260521125	0.999155368198447	NA
TRINITY_DN10101_c0_g1	-2.35393263922234	NA	NA
TRINITY_DN10102_c0_g1	-0.0842520951260139	0.999155368198447	NA
TRINITY_DN10103_c0_g1	-2.04612858541993	NA	NA
TRINITY_DN10104_c0_g1	1.34448855944903	NA	NA
TRINITY_DN10105_c0_g1	-1.10387652745637	NA	NA
TRINITY_DN10106_c0_g1	-0.475430851616478	NA	NA
TRINITY_DN10107_c0_g1	0.383716794533614	NA	NA
TRINITY_DN10108_c0_g1	0.0492643916519135	NA	NA
TRINITY_DN10109_c0_g1	-1.15624482740762	NA	NA
TRINITY_DN1011_c0_g1	1.34043294049432	NA	NA
TRINITY_DN1011_c0_g1	1.34043294049432	NA	NA
TRINITY_DN1011_c0_g2	1.68991625344931	NA	NA
TRINITY_DN10110_c0_g1	1.0786153284633	NA	NA
TRINITY_DN10111_c0_g1	-2.08134676973634	NA	NA
TRINITY_DN10112_c0_g1	0.419650588499836	NA	NA
TRINITY_DN10113_c0_g1	1.44766253045161	NA	NA
TRINITY_DN10114_c0_g1	1.76208259853803	NA	NA
TRINITY_DN10115_c0_g1	-1.83735408850688	NA	NA
